"id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"173716",2018-08-20 07:00:00,-60.7188129279855,-63.6381030153725,-6759.18733671538,-9220.12764090015,0.248281009568444,0.259694905202931,-0.314155896258009,0.638848457954128,0.422100657219476
"173716",2018-08-20 13:00:00,-60.760742050181,-63.6050360166411,-6763.85486524759,-9211.85366325022,1.44558795279463,1.49206279894979,-0.354762154312331,0.665397324116214,0.41222808939472
"173716",2018-08-20 19:00:00,-60.8025206161576,-63.5827868093139,-6768.50563393818,-9206.2919257971,0.127635334578917,0.129162784687462,0.211405623262632,0.704457949211866,0.552655443829959
"173716",2018-08-21 01:00:00,-60.8747033525678,-63.6317285888713,-6776.54097939943,-9218.53188956765,5.31842307620974,5.53814853859007,0.242701648734383,0.71073878719944,0.560379320333633
"173716",2018-08-21 07:00:00,-60.7996478331568,-63.627077144315,-6768.18583719738,-9217.36769002892,3.91495960736097,4.07502194696221,0.506172162261336,0.691825240614859,0.623908712145886
"173716",2018-08-21 13:00:00,-60.9093246329757,-63.6220984187089,-6780.39500270505,-9216.12178781043,0.307457137380148,0.318491671784221,0.625255765195322,0.583778091225915,0.651412944571659
"173716",2018-08-21 19:00:00,-60.8853663812682,-63.658849333324,-6777.72798232467,-9225.32368869309,0.214533101584739,0.222073802323757,0.763933241169569,0.527996861602586,0.68220707322341
"173716",2018-08-22 01:00:00,-60.9343103981165,-63.6662815416852,-6783.1764053576,-9227.18605968287,7.31173669942487,7.61578195801555,0.492673582444332,0.764546336122033,0.620736057486554
"173716",2018-08-22 07:00:00,-60.9123967972478,-63.6374474389587,-6780.73699446745,-9219.96350965514,0.306172869528617,0.317470765350391,0.449671886426058,0.780177063085586,0.610561219175738
"173716",2018-08-22 13:00:00,-60.9252879761285,-63.6685373910558,-6782.17203393617,-9227.75142972182,0.139487416587118,0.142299078004371,0.433226372477627,0.770947669518312,0.606643832641317
"173716",2018-08-22 19:00:00,-60.9037515957872,-63.6955085319103,-6779.77461504305,-9234.51454068538,4.89163663358091,5.10431410573202,0.289827204877737,0.712619226548664,0.571953829298471
"173716",2018-08-23 01:00:00,-61.0113545840848,-63.6459406814895,-6791.75292490818,-9222.09018685643,1.2182446199717,1.262780589527,0.281870975504351,0.615020657072093,0.570004858699618
"173716",2018-08-23 07:00:00,-61.328412994368,-63.550852194375,-6827.04770569263,-9198.31669566328,4.46114364322822,4.628758744838,0.798162666149023,0.580987546756837,0.689581320480381
