"sim_id","lon","lat"
"173711_10",-62.6844224356787,-54.5204419247525
"173711_10",-62.7626890898395,-54.6584428214688
"173711_10",-62.5476194528622,-54.3831272675433
"173711_10",-62.4519522744048,-53.9679859421899
"173711_10",-62.4530844767587,-54.1618861026798
"173711_10",-62.193561734376,-54.2372981232537
"173711_10",-62.1567736223189,-54.0789099737562
"173711_10",-62.2480878149587,-53.8709393772453
"173711_10",-62.2406166040174,-53.8017238410329
"173711_10",-62.065973556461,-53.4520545321746
"173711_10",-62.2358968719691,-53.7656960299491
"173711_10",-62.1708065297521,-53.8076138777677
"173711_10",-62.0600407199064,-53.9802671514472
"173711_10",-62.0134060376147,-53.9262529749972
"173711_10",-61.8897424968095,-53.8442098638635
"173711_10",-61.7732728169882,-53.5194565435526
"173711_10",-61.6662489249982,-53.2784954989975
"173711_10",-61.6690556087465,-53.4552471816674
"173711_10",-61.8290714282016,-53.3286095935254
"173711_10",-61.845712835084,-53.6744933946193
"173711_10",-61.7196315622304,-53.6979308178843
"173711_10",-61.5946910463693,-53.6236858138076
"173711_10",-61.4797308124145,-53.8301250174485
"173711_10",-61.472104508913,-53.8084522812603
"173711_10",-61.3380618069355,-53.5070006188667
"173711_10",-61.2286194269569,-53.6390152458269
"173711_10",-61.1321991106972,-53.4213706455066
"173711_10",-61.2794332906135,-53.5003935642631
"173711_10",-61.3044014665361,-53.6147329491592
"173711_10",-61.4523211133547,-53.8092654766057
"173711_10",-61.6469133140486,-54.029875152723
"173711_10",-61.6579586671677,-54.1587179341408
"173711_10",-61.6920265198317,-54.562596071073
"173711_10",-61.7793713415749,-54.5357179139813
"173711_10",-61.8896509254747,-54.8577035673289
"173711_10",-61.9225633754519,-54.8357228918458
"173711_10",-62.065253572828,-54.8191518092046
"173711_10",-62.1183809024022,-54.6143128848603
"173711_10",-62.1339001584033,-54.4755200635873
"173711_10",-62.1730663411495,-54.1818755070981
"173711_10",-62.0188805222655,-53.9270956215732
"173711_10",-62.0140882771983,-53.9545566355689
"173711_10",-62.1911070165922,-54.4481793678808
"173711_10",-62.1338689203494,-54.5535508620789
"173711_10",-62.030043114585,-54.7768942464995
"173711_10",-62.2848639135401,-54.8156837250354
"173711_10",-62.329438392706,-54.5499617838822
"173711_10",-62.3483739591872,-54.4178953697319
"173711_10",-62.1631492341255,-54.1435778539355
"173711_10",-61.9813747345047,-53.9130072846428
"173711_10",-62.1606616706925,-54.0498119167334
"173711_10",-62.2081613017947,-53.9479584338432
"173711_10",-62.0702478623411,-53.870729975434
"173711_10",-62.0084686271483,-53.4669730443531
"173711_10",-61.9833272709617,-53.6076713922531
"173711_10",-61.9010335184536,-53.6796550531661
