"id","date","lon","lat","presence","track_id","bathy","day","sst","ice_conc","ice_na","ice_pct","uo","vo","ssh","dist_shelf","geometry"
"173721",2018-07-03 05:00:00,-61.1206938443575,-62.4800314431917,1,"173721_real",-288,2018-07-03,-0.953550808131695,0.0609225744847208,FALSE,6.09225744847208,-0.0152592547237873,-0.0103762932121754,-1.66142765432596,-20954.2734155899,c(-61.1206938443575, -62.4800314431917)
"173721",2018-07-03 11:00:00,-60.8436919201906,-62.4855990333734,1,"173721_real",-7,2018-07-03,-1.26703693717718,0.0256355479359627,FALSE,2.56355479359627,-0.039674062281847,-0.0128177739679813,-1.66081728413701,-26146.5402677802,c(-60.8436919201906, -62.4855990333734)
"173721",2018-07-03 17:00:00,-60.8645881458049,-62.5277166637588,1,"173721_real",-12,2018-07-03,-1.26703693717718,0.0256355479359627,FALSE,2.56355479359627,-0.039674062281847,-0.0128177739679813,-1.66081728413701,-30116.8179909406,c(-60.8645881458049, -62.5277166637588)
"173721",2018-07-03 23:00:00,-60.9834709980529,-62.4698361942841,1,"173721_real",-93,2018-07-03,-1.07074188441038,0.0456633197609335,FALSE,4.56633197609335,-0.0177007354795933,-0.0451673939824104,-1.66142765432596,-22241.6635427027,c(-60.9834709980529, -62.4698361942841)
"173721",2018-07-04 05:00:00,-60.9015158145441,-62.4683983985022,1,"173721_real",-62,2018-07-04,-1.18573562800884,0.0429166539106518,FALSE,4.29166539106518,0.0518814660608768,0.0671407207846642,-1.67668690904975,-23268.2820151497,c(-60.9015158145441, -62.4683983985022)
"173721",2018-07-04 23:00:00,-60.9920881154739,-62.4446815097312,1,"173721_real",-99,2018-07-04,-1.03485211730003,0.0765633105766028,FALSE,7.65633105766028,0.04089480265975,0.0543229468166828,-1.67210913263261,-19414.2548646987,c(-60.9920881154739, -62.4446815097312)
"173721",2018-07-05 05:00:00,-61.0659017505995,-62.4152721196375,1,"173721_real",-120,2018-07-05,-1.09710987657309,0.188261055154726,FALSE,18.8261055154726,0.0567644275724888,0.137333292514086,-1.67668690904975,-15588.6031739027,c(-61.0659017505995, -62.4152721196375)
"173721",2018-07-05 11:00:00,-60.883103310394,-62.4626924422725,1,"173721_real",-54,2018-07-05,-1.22675250470638,0.152668843511492,FALSE,15.2668843511492,0.0720236822962761,0.154423657804728,-1.68462172150612,-23015.9607369799,c(-60.883103310394, -62.4626924422725)
"173721",2018-07-05 17:00:00,-60.7966377370021,-62.4572285414242,1,"173721_real",-24,2018-07-05,-1.31244847923517,0.153469954384491,FALSE,15.3469954384491,0.0573747977614403,0.0598162785172462,-1.6885891277343,-24320.97745884,c(-60.7966377370021, -62.4572285414242)
"173721",2018-07-05 23:00:00,-60.8097436767875,-62.4492223873233,1,"173721_real",-48,2018-07-05,-1.31244847923517,0.153469954384491,FALSE,15.3469954384491,0.0573747977614403,0.0598162785172462,-1.6885891277343,-23221.1785310728,c(-60.8097436767875, -62.4492223873233)
"173721",2018-07-06 05:00:00,-60.823627559877,-62.4435304647802,1,"173721_real",-56,2018-07-06,-1.38569290190935,0.171857356326655,FALSE,17.1857356326655,0.038453321903944,0.138554032891989,-1.69682912528515,-22336.1926436952,c(-60.823627559877, -62.4435304647802)
"173721",2018-07-06 11:00:00,-60.8297182548134,-62.4447240878863,1,"173721_real",-58,2018-07-06,-1.38569290190935,0.171857356326655,FALSE,17.1857356326655,0.038453321903944,0.138554032891989,-1.69682912528515,-22318.1633123093,c(-60.8297182548134, -62.4447240878863)
"173721",2018-07-06 17:00:00,-60.8177090457498,-62.458899990874,1,"173721_real",-21,2018-07-06,-1.20844139903784,0.142368846572936,FALSE,14.2368846572936,0.0866725668311119,0.360728781670332,-1.70049134641886,-24005.6660497432,c(-60.8177090457498, -62.458899990874)
"173721",2018-07-06 23:00:00,-61.0303650554358,-62.4275777758727,1,"173721_real",-109,2018-07-06,-1.26117738336325,0.201116977259517,FALSE,20.1116977259517,-0.0256355479359627,0.231940671801567,-1.6873683873564,-17183.2462698593,c(-61.0303650554358, -62.4275777758727)
"173721",2018-07-07 05:00:00,-61.1750208030753,-62.4393450419269,1,"173721_real",-342,2018-07-07,-1.33368936181068,0.0941114535089582,FALSE,9.41114535089582,0.0476088747382164,0.232551041990519,-1.67882320471108,-15789.9151175433,c(-61.1750208030753, -62.4393450419269)
"173721",2018-07-07 11:00:00,-61.0160910111583,-62.4706315805131,1,"173721_real",-100,2018-07-07,-1.39082001149654,0.320596941746771,FALSE,32.0596941746771,0.0720236822962761,0.280770286917686,-1.69042023830116,-22026.5437653009,c(-61.0160910111583, -62.4706315805131)
"173721",2018-07-07 23:00:00,-61.0863805249515,-62.4447912315808,1,"173721_real",-123,2018-07-07,-1.31537825614214,0.103152561932802,FALSE,10.3152561932802,-0.0439466536045074,0.272835474461317,-1.68797875754535,-17998.1763179912,c(-61.0863805249515, -62.4447912315808)
"173721",2018-07-08 05:00:00,-61.2339419655716,-62.4525848375379,1,"173721_real",-376,2018-07-08,-1.36225468665361,0.108607745496556,FALSE,10.8607745496556,0.147709585726261,0.0891140475869179,-1.66631061583757,-15859.3523067458,c(-61.2339419655716, -62.4525848375379)
"173721",2018-07-08 11:00:00,-60.8764884034045,-62.5240372474894,1,"173721_real",-25,2018-07-08,-0.955015696585178,0.107768486486748,FALSE,10.7768486486748,0.0683614611625671,0.145878475159407,-1.68980986811221,-29532.0151348432,c(-60.8764884034045, -62.5240372474894)
"173721",2018-07-08 23:00:00,-61.0781304596222,-62.4829046255219,1,"173721_real",-136,2018-07-08,-1.41645555943251,0.218245490686968,FALSE,21.8245490686968,0.075685903429985,0.0775170139968395,-1.6785180196166,-22037.2778022598,c(-61.0781304596222, -62.4829046255219)
"173721",2018-07-09 05:00:00,-61.1658373643054,-62.4951987840411,1,"173721_real",-376,2018-07-09,-1.49995420128107,0.076982940081507,FALSE,7.6982940081507,0.154423657804728,-0.00488296151161194,-1.68187505565584,-21646.7538506319,c(-61.1658373643054, -62.4951987840411)
"173721",2018-07-09 11:00:00,-61.129030609921,-62.5622438247819,1,"173721_real",-103,2018-07-09,-1.56587418168783,0.0801873835735023,FALSE,8.01873835735023,0.122074037790298,0.0122074037790298,-1.69011505320668,-29181.9270793106,c(-61.129030609921, -62.5622438247819)
"173721",2018-07-09 17:00:00,-61.1304418062883,-62.5657313786587,1,"173721_real",-33,2018-07-09,-1.56587418168783,0.0801873835735023,FALSE,8.01873835735023,0.122074037790298,0.0122074037790298,-1.69011505320668,-29499.7670753381,c(-61.1304418062883, -62.5657313786587)
"173721",2018-07-09 23:00:00,-61.3031992957855,-62.5496329701982,1,"173721_real",-86,2018-07-09,-1.54976040869951,0.0976973783690482,FALSE,9.76973783690482,0.083010345697403,0.0341807305812836,-1.68797875754535,-24708.7788831923,c(-61.3031992957855, -62.5496329701982)
